Exchange Date,Future,Spot
12-Oct-2020,5977.00,6016.65
13-Oct-2020,5936.00,6001.38
14-Oct-2020,5911.50,5969.71
15-Oct-2020,5800.50,5935.06
16-Oct-2020,5902.50,5832.52
19-Oct-2020,5863.50,5919.58
20-Oct-2020,5873.00,5884.65
21-Oct-2020,5745.00,5889.22
22-Oct-2020,5763.00,5776.50
23-Oct-2020,5826.00,5785.65
26-Oct-2020,5766.00,5860.28
27-Oct-2020,5712.00,5792.01
28-Oct-2020,5539.50,5728.99
29-Oct-2020,5549.00,5582.80
30-Oct-2020,5563.50,5581.75
02-Nov-2020,5632.00,5577.27
03-Nov-2020,5755.50,5654.97
04-Nov-2020,5854.50,5786.77
05-Nov-2020,5882.50,5883.26
06-Nov-2020,5884.50,5906.18
09-Nov-2020,6176.50,5910.02
10-Nov-2020,6283.50,6186.29
11-Nov-2020,6374.00,6296.85
12-Nov-2020,6337.50,6382.10
13-Nov-2020,6313.00,6338.94
16-Nov-2020,6418.00,6316.39
17-Nov-2020,6348.50,6421.29
18-Nov-2020,6375.50,6365.33
19-Nov-2020,6324.00,6385.24
20-Nov-2020,6334.50,6334.35
23-Nov-2020,6332.00,6351.45
24-Nov-2020,6411.00,6333.84
25-Nov-2020,6373.00,6432.17
26-Nov-2020,6352.50,6391.09
27-Nov-2020,6361.50,6362.93
30-Nov-2020,6292.50,6367.58
01-Dec-2020,6379.50,6266.19
02-Dec-2020,6449.00,6384.73
03-Dec-2020,6479.00,6463.39
04-Dec-2020,6541.00,6490.27
07-Dec-2020,6549.50,6550.23
08-Dec-2020,6554.50,6555.39
09-Dec-2020,6566.50,6558.82
10-Dec-2020,6604.00,6564.29
11-Dec-2020,6544.50,6599.76
14-Dec-2020,6533.00,6546.75
15-Dec-2020,6511.00,6531.83
16-Dec-2020,6558.50,6513.32
17-Dec-2020,6554.50,6570.91
18-Dec-2020,6592.00,6551.06
21-Dec-2020,6371.00,6529.18
22-Dec-2020,6406.00,6416.32
23-Dec-2020,6445.50,6453.16
24-Dec-2020,6454.50,6495.75
29-Dec-2020,6560.00,6502.11
30-Dec-2020,6506.50,6602.65
31-Dec-2020,6420.00,6555.82
04-Jan-2021,6529.50,6460.52
05-Jan-2021,6550.50,6571.88
06-Jan-2021,6809.50,6612.25
07-Jan-2021,6829.50,6841.86
08-Jan-2021,6818.00,6856.96
11-Jan-2021,6758.00,6873.26
12-Jan-2021,6709.50,6798.48
13-Jan-2021,6705.50,6754.11
14-Jan-2021,6751.50,6745.52
15-Jan-2021,6684.50,6801.96
18-Jan-2021,6679.00,6735.71
19-Jan-2021,6666.00,6720.65
20-Jan-2021,6688.00,6712.95
21-Jan-2021,6678.50,6740.39
22-Jan-2021,6644.00,6715.42
25-Jan-2021,6589.50,6695.07
26-Jan-2021,6616.50,6638.85
27-Jan-2021,6523.50,6654.01
28-Jan-2021,6479.00,6567.37
29-Jan-2021,6361.00,6526.15
01-Feb-2021,6421.50,6407.46
02-Feb-2021,6471.50,6466.42
03-Feb-2021,6452.50,6516.65
04-Feb-2021,6451.00,6507.82
05-Feb-2021,6442.50,6503.72
08-Feb-2021,6481.00,6489.33
09-Feb-2021,6481.50,6523.53
10-Feb-2021,6468.00,6531.56
11-Feb-2021,6476.00,6524.36
12-Feb-2021,6532.00,6528.72
15-Feb-2021,6715.50,6589.79
16-Feb-2021,6696.00,6756.11
17-Feb-2021,6661.00,6748.86
18-Feb-2021,6570.00,6710.90
19-Feb-2021,6605.50,6617.15
22-Feb-2021,6582.00,6624.02
23-Feb-2021,6576.00,6612.24
24-Feb-2021,6623.00,6625.94
25-Feb-2021,6627.50,6658.97
26-Feb-2021,6439.50,6651.96
01-Mar-2021,6550.50,6483.43
02-Mar-2021,6594.00,6588.53
03-Mar-2021,6638.50,6613.75
04-Mar-2021,6632.50,6675.47
05-Mar-2021,6609.50,6650.88
08-Mar-2021,6708.50,6630.52
09-Mar-2021,6725.50,6719.13
10-Mar-2021,6715.00,6730.34
11-Mar-2021,6726.50,6725.60
12-Mar-2021,6754.50,6736.96
15-Mar-2021,6741.00,6761.47
16-Mar-2021,6794.00,6749.70
17-Mar-2021,6763.00,6803.61
18-Mar-2021,6781.50,6762.67
19-Mar-2021,6711.50,6779.68
22-Mar-2021,6674.00,6708.71
23-Mar-2021,6650.00,6726.10
24-Mar-2021,6662.00,6699.19
25-Mar-2021,6624.50,6712.89
26-Mar-2021,6691.50,6674.83
29-Mar-2021,6693.50,6740.59
30-Mar-2021,6731.50,6736.17
31-Mar-2021,6679.50,6772.12
01-Apr-2021,6692.00,6713.63
05-Apr-2021,,6737.30
06-Apr-2021,6773.00,6823.55
07-Apr-2021,6843.00,6885.32
08-Apr-2021,6892.00,6942.22
09-Apr-2021,6878.50,6915.75
12-Apr-2021,6850.50,6889.12
13-Apr-2021,6848.50,6890.49
14-Apr-2021,6894.50,6939.58
15-Apr-2021,6951.50,6983.50
16-Apr-2021,6975.00,7019.53
19-Apr-2021,6966.00,7000.08
20-Apr-2021,6819.00,6859.87
21-Apr-2021,6864.00,6895.29
22-Apr-2021,6904.00,6938.24
23-Apr-2021,6900.00,6938.56
26-Apr-2021,6934.00,6963.12
27-Apr-2021,6896.50,6944.97
28-Apr-2021,6931.50,6963.67
29-Apr-2021,6931.50,6961.48
30-Apr-2021,6937.50,6969.81
04-May-2021,6881.00,6923.17
05-May-2021,7016.00,7039.30
06-May-2021,7041.00,7076.17
07-May-2021,7103.00,7129.71
10-May-2021,7102.50,7123.68
11-May-2021,6912.00,6947.99
12-May-2021,6983.50,7004.63
13-May-2021,6937.00,6963.33
14-May-2021,7024.50,7043.61
17-May-2021,7014.50,7032.85
18-May-2021,7026.50,7034.24
19-May-2021,6929.00,6950.20
20-May-2021,7005.00,7019.79
21-May-2021,7008.50,7018.05
24-May-2021,7045.50,7051.59
25-May-2021,7026.50,7029.79
26-May-2021,7017.50,7026.93
27-May-2021,7010.50,7019.67
28-May-2021,7023.50,7022.61
01-Jun-2021,7078.00,7080.46
02-Jun-2021,7095.00,7108.00
03-Jun-2021,7068.50,7064.35
04-Jun-2021,7066.00,7069.04
07-Jun-2021,7081.50,7077.22
08-Jun-2021,7100.00,7095.09
09-Jun-2021,7081.00,7081.01
10-Jun-2021,7083.00,7088.18
11-Jun-2021,7137.00,7134.06
14-Jun-2021,7154.50,7146.68
15-Jun-2021,7168.50,7172.48
16-Jun-2021,7189.50,7184.95
17-Jun-2021,7151.50,7153.43
18-Jun-2021,7120.00,7017.47
21-Jun-2021,6990.00,7062.29
22-Jun-2021,7023.00,7090.01
23-Jun-2021,7012.50,7074.06
24-Jun-2021,7047.50,7109.97
25-Jun-2021,7067.50,7136.07
28-Jun-2021,7003.50,7072.97
29-Jun-2021,7020.00,7087.55
30-Jun-2021,6980.50,7037.47
01-Jul-2021,7051.00,7125.16
02-Jul-2021,7047.00,7123.27
05-Jul-2021,7094.00,7164.91
06-Jul-2021,7022.50,7100.88
07-Jul-2021,7079.00,7151.02
08-Jul-2021,6960.50,7030.66
09-Jul-2021,7044.00,7121.88
12-Jul-2021,7063.50,7125.42
13-Jul-2021,7052.50,7124.72
14-Jul-2021,7028.00,7091.19
15-Jul-2021,6937.00,7012.02
16-Jul-2021,6930.50,7008.09
19-Jul-2021,6768.00,6844.39
20-Jul-2021,6813.50,6881.13
21-Jul-2021,6931.50,6998.28
22-Jul-2021,6893.00,6968.30
23-Jul-2021,6961.50,7027.58
26-Jul-2021,6951.50,7025.43
27-Jul-2021,6927.00,6996.08
28-Jul-2021,6950.50,7016.63
29-Jul-2021,7007.50,7078.42
30-Jul-2021,6966.50,7032.30
02-Aug-2021,7014.50,7081.72
03-Aug-2021,7036.50,7105.72
04-Aug-2021,7051.50,7123.86
05-Aug-2021,7059.50,7120.43
06-Aug-2021,7063.50,7122.95
09-Aug-2021,7076.00,7132.30
10-Aug-2021,7100.50,7161.04
11-Aug-2021,7153.00,7220.14
12-Aug-2021,7159.00,7193.23
13-Aug-2021,7184.00,7218.71
16-Aug-2021,7112.00,7153.98
17-Aug-2021,7137.50,7181.11
18-Aug-2021,7128.50,7169.32
