Dates,Close
09/10/2002,22
10/10/2002,23.19
11/10/2002,24.44
14/10/2002,24.65
15/10/2002,26.15
16/10/2002,25.21
17/10/2002,25.39
18/10/2002,26.58
21/10/2002,26.26
22/10/2002,25.84
23/10/2002,26.6
24/10/2002,25.62
25/10/2002,26.34
28/10/2002,25.98
29/10/2002,26.04
30/10/2002,26.56
31/10/2002,26.74
01/11/2002,26.5
04/11/2002,28.05
05/11/2002,28.34
06/11/2002,28.52
07/11/2002,28.01
08/11/2002,27.55
11/11/2002,26.93
12/11/2002,27.26
13/11/2002,27.68
14/11/2002,28.5
15/11/2002,28.35
18/11/2002,27.93
19/11/2002,27.43
20/11/2002,28.31
21/11/2002,28.92
22/11/2002,29.11
25/11/2002,29.12
26/11/2002,28.45
27/11/2002,29.04
29/11/2002,28.84
02/12/2002,28.85
03/12/2002,28.36
04/12/2002,28.27
05/12/2002,27.67
06/12/2002,27.74
09/12/2002,26.77
10/12/2002,27.01
11/12/2002,27.33
12/12/2002,27.09
13/12/2002,26.25
16/12/2002,27.24
17/12/2002,27.18
18/12/2002,26.77
19/12/2002,26.56
20/12/2002,26.52
23/12/2002,27
24/12/2002,26.91
26/12/2002,26.7
27/12/2002,26.49
30/12/2002,26.38
31/12/2002,25.85
02/01/2003,26.86
03/01/2003,26.9
06/01/2003,27.39
07/01/2003,27.9
08/01/2003,27.12
09/01/2003,27.91
10/01/2003,27.96
13/01/2003,28.2
14/01/2003,28.49
15/01/2003,28.14
16/01/2003,27.68
17/01/2003,25.73
21/01/2003,25.67
22/01/2003,25.5
23/01/2003,26.14
24/01/2003,24.93
27/01/2003,24.59
28/01/2003,24.41
29/01/2003,24.96
30/01/2003,24.12
31/01/2003,23.73
03/02/2003,24.28
04/02/2003,23.66
05/02/2003,23.48
06/02/2003,23.71
07/02/2003,23.29
10/02/2003,23.69
11/02/2003,23.22
12/02/2003,23.22
13/02/2003,23.5
14/02/2003,24.15
18/02/2003,24.96
19/02/2003,24.53
20/02/2003,24.15
21/02/2003,24.61
24/02/2003,24.07
25/02/2003,24.19
26/02/2003,23.6
27/02/2003,23.58
28/02/2003,23.7
03/03/2003,23.54
04/03/2003,23.07
05/03/2003,23.44
06/03/2003,23.27
07/03/2003,23.56
10/03/2003,22.95
11/03/2003,22.79
12/03/2003,23.39
13/03/2003,24.67
14/03/2003,24.86
17/03/2003,25.93
18/03/2003,26.04
19/03/2003,26.32
20/03/2003,26.25
21/03/2003,26.57
24/03/2003,25.29
25/03/2003,25.49
26/03/2003,25.25
27/03/2003,25.04
28/03/2003,24.67
31/03/2003,24.21
01/04/2003,24.35
02/04/2003,25.72
03/04/2003,25.73
04/04/2003,25.09
07/04/2003,25.17
08/04/2003,25.58
09/04/2003,24.57
10/04/2003,24.59
11/04/2003,24.2
14/04/2003,24.75
15/04/2003,24.61
16/04/2003,24.91
17/04/2003,25.5
21/04/2003,25.21
22/04/2003,25.74
23/04/2003,25.72
